"Category","ConfigKey","WindowsValue","LinuxCommand","Notes"
"Power","lid_close_on_ac","unknown","","logind.conf: HandleLidSwitchExternalPower=suspend"
"Power","lid_close_on_battery","unknown","","logind.conf: HandleLidSwitch=suspend"
"Display","resolution","2560x1600","","xrandr / GNOME Settings > Displays"
"Display","scaling","150%","","gsettings set org.gnome.desktop.interface scaling-factor"
"Keyboard","layout","English (United States) (en-US)","en-US, fa","setxkbmap / localectl set-x11-keymap"
"Keyboard","shortcuts_note","Ctrl+C/V/X/Z = Copy/Paste/Cut/Undo ; Win+E = File Explorer ; Win+L = Lock screen ; Win+D = Show desktop ; Win+R = Run dialog ; Alt+Tab = Switch windows ; Ctrl+Shift+Esc = Task Manager ; Win+Shift+S = Screenshot snipping","","Map to GNOME/KDE equivalents in settings_config.sh"
"Telemetry","telemetry_level","Full","","Disable telemetry: mask telemetry in /etc/hosts + disable services"
"Telemetry","location_service","enabled","","Disable location: systemctl disable geoclue + gnome-control-center"
"AutoUpdate","install_service_files","system_update","","Install system_update.service + system_update.timer from the repo (see Scheduled systemd Automatic Update/Debian/service files/)"
